,reactions
493,[C:7]=1([N:9]2[C:26]=3[C:20]([C:13](=[N:12][CH2:11][C:10]2=[C:5]([C:3]([O:2][CH3:1])=[O:4])[N:6]=1)[C:14]4=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]4)=[CH:21][C:22]([Cl:23])=[CH:24][CH:25]=3)[CH3:8]>>[C:7]=1([N:9]2[C:10]([CH2:11][NH:12][CH:13]([C:20]=3[C:26]2=[CH:25][CH:24]=[C:22]([Cl:23])[CH:21]=3)[C:14]=4[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=4)=[C:5]([C:3]([O:2][CH3:1])=[O:4])[N:6]=1)[CH3:8]
494,[CH:8]=1[CH:9]=[CH:10][C:11]2=[C:6]([C:4](=[O:5])[O:3][C:2]2=[O:1])[CH:7]=1.[CH3:12][OH:13]>>[C:11]=1([C:6](=[CH:7][CH:8]=[CH:9][CH:10]=1)[C:4]([OH:3])=[O:5])[C:2]([O:13][CH3:12])=[O:1]
495,[C:14]12=[C:20]([CH:21]=[C:22]([C:12](=[CH:13]1)[CH:2]([CH2:3][CH2:4][CH2:5][C:6]=3[CH:11]=[CH:10][CH:9]=[CH:8][CH:7]=3)[CH3:1])[OH:23])[C:19]=4[CH2:24][CH2:25][CH2:26][CH2:27][C:18]=4[C:16]([OH:17])=[N:15]2>>[C:6]1(=[CH:11][CH:10]=[CH:9][CH:8]=[CH:7]1)[CH2:5][CH2:4][CH2:3][CH:2]([C:12]2=[CH:13][C:14]3=[C:20]([CH:21]=[C:22]2[OH:23])[C:19]=4[CH2:24][CH2:25][CH2:26][CH2:27][C:18]=4[CH2:16][NH:15]3)[CH3:1]
496,[CH4:23].[CH2:9]1[CH2:10][CH:11]([CH2:19][CH2:20][CH:8]1[CH:7]2[CH2:21][CH2:22][CH:4]([CH2:5][CH2:6]2)[CH2:3][CH2:2][CH3:1])[C:12]=3[CH:18]=[CH:17][C:15](=[CH:14][CH:13]=3)[Br:16].[NH3:24]>>[CH2:9]1[CH2:10][CH:11]([CH2:19][CH2:20][CH:8]1[CH:7]2[CH2:21][CH2:22][CH:4]([CH2:5][CH2:6]2)[CH2:3][CH2:2][CH3:1])[C:12]3=[CH:18][CH:17]=[C:15]([C:23]#[N:24])[CH:14]=[CH:13]3
497,[CH3:1][O:2][P:3]([O:29][CH3:30])(=[O:4])[NH:5][CH:6]([C:7](=[O:8])[NH:9][CH:10]1[CH:22]2[S:21][CH2:20][C:18]([CH3:19])=[C:14]([C:15]([OH:17])=[O:16])[N:13]2[C:11]1=[O:12])[C:23]3=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]3>>[O:16]=[C:15]([OH:17])[C:14]=1[N:13]2[CH:22]([CH:10]([NH:9][C:7]([CH:6]([NH2:5])[C:23]=3[CH:28]=[CH:27][CH:26]=[CH:25][CH:24]=3)=[O:8])[C:11]2=[O:12])[S:21][CH2:20][C:18]=1[CH3:19]
498,[CH3:1][N:2]([CH3:3])[S:4](=[O:5])(=[O:6])[CH2:7][S:8][C:9]=1[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=1.[OH2:15].[OH2:16]>>[CH3:1][N:2]([CH3:3])[S:4](=[O:5])(=[O:6])[CH2:7][S:8](=[O:16])(=[O:15])[C:9]=1[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=1
499,[CH3:12][Si:11]([CH3:13])([CH3:14])[O:10][CH:5]([CH2:4][CH2:3][CH2:2][CH3:1])[CH2:6][CH:7]=[CH:8][I:9]>>[CH2:2]([CH2:3][CH2:4][CH:5]([OH:10])[CH2:6][CH:7]=[CH:8][I:9])[CH3:1]
500,[C:10]1(=[CH:9][CH:8]=[C:7]([C:19]([Cl:20])=[C:12]1[C:13]2=[CH:14][N:15]=[CH:16][N:17]=[CH:18]2)[CH2:6][OH:5])[Cl:11].[CH2:1]=[CH:2][CH2:3][Br:4]>>[C:10]1(=[CH:9][CH:8]=[C:7]([C:19]([Cl:20])=[C:12]1[C:13]2=[CH:18][N:17]=[CH:16][N:15]=[CH:14]2)[CH2:6][O:5][CH2:3][CH:2]=[CH2:1])[Cl:11]
501,[O:16]=[C:15]([C:14]=1[O:18][C:9](=[CH:10][C:11]([CH:13]=1)=[O:12])[CH:8]=[CH:7][C:6]2=[CH:5][CH:4]=[C:3]([CH:20]=[CH:19]2)[O:2][CH3:1])[OH:17]>>[O:16]=[C:15]([C:14]=1[O:18][C:9](=[CH:10][C:11]([CH:13]=1)=[O:12])[CH:8]=[CH:7][C:6]2=[CH:5][CH:4]=[C:3]([CH:20]=[CH:19]2)[OH:2])[OH:17]
502,[CH2:13]([CH2:14][K:11])[Br:12].[O-:6][P:5]([O:8][CH2:9][CH3:10])(=[S:7])[S:4][CH2:3][CH2:2][CH3:1]>>[CH2:13]([Br:12])[CH2:14][S:7][P:5]([O:8][CH2:9][CH3:10])(=[O:6])[S:4][CH2:3][CH2:2][CH3:1]
503,[CH3:1][CH2:2][C:3]1([CH2:4][CH3:5])[CH2:6][C:7]2=[CH:8][C:9](=[C:12]([C:14]([Cl:15])=[C:16]2[C:17]1=[O:18])[Cl:13])[O:10][CH3:11]>>[CH3:1][CH2:2][C:3]1([CH2:4][CH3:5])[C:17](=[O:18])[C:16]2=[C:14]([C:12]([Cl:13])=[C:9]([OH:10])[CH:8]=[C:7]2[CH2:6]1)[Cl:15]
504,[CH2:16]1[CH2:17][CH2:18][CH2:19][CH:15]1[C:13]2([CH3:14])[CH2:20][C:5]=3[CH:4]=[C:3]([O:2][CH3:1])[C:9]([Cl:10])=[C:7]([Cl:8])[C:6]=3[C:11]2=[O:12]>>[CH2:16]1[CH2:17][CH2:18][CH2:19][CH:15]1[C:13]2([C:11](=[O:12])[C:6]=3[C:7]([Cl:8])=[C:9]([C:3]([OH:2])=[CH:4][C:5]=3[CH2:20]2)[Cl:10])[CH3:14]
505,[CH2:11]([CH2:12][CH2:13][C:14]([Cl:16])=[O:15])[CH3:10].[Cl:1][C:2]([Cl:3])([Cl:4])[CH:5]1[O:9][CH2:8][CH2:7][NH:6]1>>[Cl:1][C:2]([Cl:3])([Cl:4])[CH:5]1[O:9][CH2:8][CH2:7][N:6]1[C:14](=[O:15])[CH2:13][CH2:12][CH2:11][CH3:10]
506,[CH2:11]1[CH2:12][C:5]1([CH2:4][CH2:3][CH2:2][CH3:1])[C:6]([O:8][CH2:9][CH3:10])=[O:7].[O:18]([CH3:19])[P:15]([O:14][CH3:13])([CH3:16])=[O:17]>>[CH3:13][O:14][P:15]([O:18][CH3:19])([CH2:16][C:6]([C:5]1([CH2:11][CH2:12]1)[CH2:4][CH2:3][CH2:2][CH3:1])=[O:7])=[O:17]
507,[CH3:20][C:19]([CH3:21])([CH3:22])[O:18][C:16](=[O:17])[NH:15][CH:10]([C:8](=[O:9])[CH2:7][NH:6][CH:5]([CH2:4][CH:2]([CH3:1])[CH3:3])[C:23]([OH:25])=[O:24])[CH2:11][CH:12]([CH3:13])[CH3:14]>>[CH3:20][C:19]([CH3:21])([CH3:22])[O:18][C:16]([NH:15][CH:10]([CH2:11][CH:12]([CH3:13])[CH3:14])[CH:8]([OH:9])[CH2:7][NH:6][CH:5]([C:23](=[O:24])[OH:25])[CH2:4][CH:2]([CH3:1])[CH3:3])=[O:17]
508,[N:5]=1[N:6]([N:13]=[C:14]([C:15]=2[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=2)[C:4]=1[C:2]([Cl:3])=[O:1])[C:7]=3[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=3>>[C:4]1(=[N:5][N:6]([N:13]=[C:14]1[C:15]2=[CH:20][CH:19]=[CH:18][CH:17]=[CH:16]2)[C:7]=3[CH:8]=[CH:9][CH:10]=[CH:11][CH:12]=3)[CH:2]=[O:1]
509,[CH2:16]([C:17]([Cl:19])=[O:18])[CH3:15].[N:8]=1[CH:9]=[C:10]([Cl:11])[CH:12]=[C:13]([C:7]=1[N:6]2[N:5]=[CH:4][CH:3]=[C:2]2[NH2:1])[Cl:14]>>[N:8]=1[CH:9]=[C:10]([Cl:11])[CH:12]=[C:13]([C:7]=1[N:6]2[N:5]=[CH:4][CH:3]=[C:2]2[NH:1][C:17]([CH2:16][CH3:15])=[O:18])[Cl:14]
510,[CH2:2]([CH2:3][C:4]([C:6]=1[CH:7]=[C:8]2[C:15]([N:13]([CH3:14])[C:10](=[N:9]2)[CH2:11][OH:12])=[CH:16][C:17]=1[O:18][CH3:19])=[O:5])[CH3:1].[OH2:20]>>[O:20]=[C:11]([OH:12])[C:10]=1[N:13]([CH3:14])[C:15]=2[C:8](=[CH:7][C:6](=[C:17]([O:18][CH3:19])[CH:16]=2)[C:4]([CH2:3][CH2:2][CH3:1])=[O:5])[N:9]=1
511,[CH4:10].[CH4:11].[CH:2]([CH3:1])=[CH:3][CH:4]=[CH:5][C:6]([O:8][CH3:9])=[O:7].[OH2:12].[OH2:13]>>[CH:3]([CH:2]=[CH2:1])=[CH:4][CH:5]([C:6]([O:8][CH3:9])=[O:7])[O:13][C:11]([CH3:10])=[O:12]
512,[OH2:14].[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8]>>[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[OH:14]
513,[CH2:6]([C:5]1=[CH:4][CH:3]=[C:2]([CH:14]=[CH:13]1)[OH:1])[N:7]2[CH2:12][CH2:11][CH:10]=[CH:9][CH2:8]2.[CH:19]1=[C:18]([C:16]([Cl:17])=[O:15])[CH:23]=[CH:22][CH:21]=[CH:20]1>>[CH2:6]([C:5]1=[CH:4][CH:3]=[C:2]([CH:14]=[CH:13]1)[O:1][C:16]([C:18]2=[CH:23][CH:22]=[CH:21][CH:20]=[CH:19]2)=[O:15])[N:7]3[CH2:12][CH2:11][CH:10]=[CH:9][CH2:8]3
514,[OH2:17].[OH2:18].[OH2:19].[O:9]1[CH2:8][CH2:7][S:6][CH:5]=[C:4]1[CH2:3][C:2]([NH:10][CH:11]2[CH2:12][NH:13][C:14]2=[O:15])=[O:1].[SH2:20].[Na:16]>>[O:18]=[S:20](=[O:19])([O-:17])[N:13]1[C:14]([CH:11]([NH:10][C:2]([CH2:3][C:4]2=[CH:5][S:6][CH2:7][CH2:8][O:9]2)=[O:1])[CH2:12]1)=[O:15]
515,[CH4:18].[CH4:19].[NH3:20].[O:8]=[S:7](=[O:9])([C:6]1=[CH:11][C:12]2=[C:13]([C:4]([C:2]([OH:3])=[O:1])=[CH:5]1)[O:14][CH2:15][CH2:16][CH2:17]2)[Cl:10]>>[CH3:18][N:20]([CH3:19])[S:7](=[O:8])(=[O:9])[C:6]1=[CH:5][C:4](=[C:13]2[O:14][CH2:15][CH2:16][CH2:17][C:12]2=[CH:11]1)[C:2]([OH:3])=[O:1]
516,[CH:4]=1[CH:5]=[CH:6][CH:7]=[CH:8][C:3]=1[C:2]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)([C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3)[Cl:1].[O:25]=[C:24]([CH2:26][CH:27]1[CH2:28][CH2:29][CH2:30][CH2:31][NH:32]1)[O:23][CH2:22][CH3:21]>>[CH:5]=1[CH:4]=[C:3]([CH:8]=[CH:7][CH:6]=1)[C:2]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)([C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3)[N:32]4[CH:27]([CH2:26][C:24]([O:23][CH2:22][CH3:21])=[O:25])[CH2:28][CH2:29][CH2:30][CH2:31]4
517,[CH4:11].[CH4:12].[Cl:8][C:7]([Cl:9])([Cl:10])[CH:5]([OH:6])[CH:4]=[C:2]([CH3:1])[CH3:3].[OH2:13]>>[Cl:8][C:7]([Cl:9])([Cl:10])[CH:5]([O:6][C:11](=[O:13])[CH3:12])[CH:4]=[C:2]([CH3:1])[CH3:3]
518,[CH2:10]1[CH2:9][CH:8]([CH:6]([C:4](=[O:5])[O:3][CH2:2][CH3:1])[CH3:7])[CH2:15][CH:13]([C:11]1=[O:12])[Br:14].[CH:22]=1[CH:21]=[C:20]([CH:26]=[CH:25][C:23]=1[O-:24])[NH:19][C:17](=[O:18])[CH3:16].[Na+:27]>>[CH2:15]1[CH:13]([O:24][C:23]2=[CH:22][CH:21]=[C:20]([CH:26]=[CH:25]2)[NH:19][C:17](=[O:18])[CH3:16])[C:11]([CH2:10][CH2:9][CH:8]1[CH:6]([CH3:7])[C:4](=[O:5])[O:3][CH2:2][CH3:1])=[O:12]
519,[CH4:24].[C:18]1=2[C:23]([C:2]([NH:3][CH:4]([C:15](=[S:16])[NH:17]1)[CH2:5][C:6]=3[C:14]4=[C:9]([CH:10]=[CH:11][CH:12]=[CH:13]4)[NH:8][CH:7]=3)=[O:1])=[CH:22][CH:21]=[CH:20][CH:19]=2>>[CH:4]1([CH:15]([S:16][CH3:24])[NH:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[C:23]2[C:2]([NH:3]1)=[O:1])[CH2:5][C:6]=3[C:14]4=[C:9]([CH:10]=[CH:11][CH:12]=[CH:13]4)[NH:8][CH:7]=3
520,[OH:14][C:12](=[O:13])[CH:8]([N:9]=[N+:10]=[N-:11])[CH2:7][NH:6][CH:5]([C:15]=1[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=1)[C:3]([O:2][CH3:1])=[O:4]>>[C:3]([O:2][CH3:1])(=[O:4])[CH:5]([N:6]1[CH2:7][CH:8]([N:9]=[N+:10]=[N-:11])[C:12]1=[O:13])[C:15]=2[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=2
521,[CH4:24].[CH4:25].[CH4:26].[CH4:27].[C:20]=1([C:18](=[O:19])[C:17]=2[CH:16]=[CH:15][CH:14]=[C:10]([C:9]=2[O:8][C:7]=1[C:6]3=[CH:5][CH:4]=[C:3]([CH:23]=[CH:22]3)[O:2][CH3:1])[C:11](=[O:12])[OH:13])[CH3:21].[NH3:28]>>[CH3:24][CH2:27][N:28]([CH2:25][CH3:26])[C:11](=[O:12])[C:10]1=[C:9]2[C:17]([C:18](=[O:19])[C:20](=[C:7]([C:6]=3[CH:22]=[CH:23][C:3]([O:2][CH3:1])=[CH:4][CH:5]=3)[O:8]2)[CH3:21])=[CH:16][CH:15]=[CH:14]1
522,[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[Cl:6].[CH3:7][NH:8][C:9]=1[S:18][C:17]=2[C:11](=[CH:12][C:13]([Cl:14])=[CH:15][CH:16]=2)[N:10]=1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[N:8]([CH3:7])[C:9]1=[N:10][C:11]2=[CH:12][C:13]([Cl:14])=[CH:15][CH:16]=[C:17]2[S:18]1
523,[N:11]1=[N:12][C:5](=[CH:6][CH:7]=[C:8]1[O:9][CH3:10])[C:3]([O:2][CH3:1])=[O:4].[O:17]=[C:16]([O:15][CH2:14][CH3:13])[CH2:18][CH3:19]>>[N:11]1=[N:12][C:5](=[CH:6][CH:7]=[C:8]1[O:9][CH3:10])[C:3]([CH:18]([C:16](=[O:17])[O:15][CH2:14][CH3:13])[CH3:19])=[O:4]
524,[N:8]=1[CH2:7][C:6]([CH2:5][C:3](=[O:4])[O:2][CH3:1])=[N:24][C:23]2=[CH:22][CH:21]=[C:19]([Cl:20])[CH:18]=[C:17]2[C:9]=1[C:10]=3[C:15]([Cl:16])=[CH:14][CH:13]=[CH:12][CH:11]=3.[OH:26][NH2:25]>>[CH:22]=1[C:23]2=[C:17]([C:9](=[N:8][CH2:7][C:6]([C:5]([C:3]([O:2][CH3:1])=[O:4])=[N:25][OH:26])=[N:24]2)[C:10]=3[C:15]([Cl:16])=[CH:14][CH:13]=[CH:12][CH:11]=3)[CH:18]=[C:19]([CH:21]=1)[Cl:20]
525,[O:8]=[C:7]1[CH:9]2[N:14]([C:15](=[O:16])[N:6]1[C:5]=3[CH:4]=[C:3]([C:20]([Cl:21])=[CH:19][C:17]=3[F:18])[O:2][CH3:1])[CH2:13][CH2:12][CH2:11][CH2:10]2>>[OH:8][CH:7]1[N:6]([C:15](=[O:16])[N:14]2[CH2:13][CH2:12][CH2:11][CH2:10][CH:9]12)[C:5]=3[CH:4]=[C:3]([C:20]([Cl:21])=[CH:19][C:17]=3[F:18])[O:2][CH3:1]
526,[OH2:1].[O:2]=[C:3]1[C:12]=2[C:7](=[CH:8][CH:9]=[CH:10][CH:11]=2)[C:5](=[O:6])[O:4]1>>[C:7]1(=[C:12]([C:3](=[O:2])[OH:1])[CH:11]=[CH:10][CH:9]=[CH:8]1)[C:5](=[O:6])[OH:4]
527,[O:20]=[S:19](=[O:21])([NH:18][C:17]=1[CH:16]=[CH:15][CH:14]=[CH:13][C:12]=1[C:2](=[O:1])[NH:3][CH2:4][CH2:5][CH2:6][N:7]2[CH:8]=[CH:9][N:10]=[CH:11]2)[C:22]3=[CH:23][CH:24]=[C:25]([N+:26](=[O:27])[O-:28])[CH:29]=[CH:30]3>>[O:20]=[S:19](=[O:21])([NH:18][C:17]=1[CH:16]=[CH:15][CH:14]=[CH:13][C:12]=1[C:2](=[O:1])[NH:3][CH2:4][CH2:5][CH2:6][N:7]2[CH:8]=[CH:9][N:10]=[CH:11]2)[C:22]3=[CH:23][CH:24]=[C:25]([CH:29]=[CH:30]3)[NH2:26]
528,[CH3:1][CH:2]([CH3:3])[C:4]=1[CH2:18][O:17][CH:16]([C:19](=[CH2:21])[CH3:20])[CH2:15][CH2:14][C:12]([CH3:13])=[CH:11][CH2:10][CH2:9][C:7]([CH3:8])=[CH:6][CH:5]=1>>[CH3:1][CH:2]([CH3:3])[C:4]1=[CH:5][CH:6]=[C:7]([CH3:8])[CH2:9][CH2:10][CH:11]=[C:12]([CH3:13])[CH2:14][CH2:15][CH:16]=[C:19]([CH2:21][CH:18]1[OH:17])[CH3:20]
529,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]1[C:21]([CH3:22])([CH3:23])[CH2:20][O:19][CH:10]1[O:11][CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]1[C:21]([CH3:22])([CH3:23])[CH2:20][O:19][CH:10]1[CH:12]([C:13]=2[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=2)[OH:11]
530,[CH:9]=1[C:7]([Cl:8])=[CH:6][CH:5]=[C:4]([S:2](=[O:3])[CH3:1])[CH:10]=1.[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][C:18]([C:20]([F:21])([F:22])[F:23])=[O:19]>>[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][CH2:1][S:2][C:4]=1[CH:5]=[CH:6][C:7](=[CH:9][CH:10]=1)[Cl:8]
531,[CH2:13]1[CH2:14][O:15][C:3]([O:12]1)([CH2:2][CH3:1])[CH2:4][CH:5]=[C:6]([CH3:7])[CH2:8][O:9][CH:10]=[CH2:11]>>[O:12]1[CH2:13][CH2:14][O:15][C:3]1([CH2:2][CH3:1])[CH2:4][CH:5]([CH2:11][CH:10]=[O:9])[C:6](=[CH2:8])[CH3:7]
532,[C:2]([CH3:1])#[C:3][C:4](=[O:6])[OH:5].[CH2:26]([C:25]1=[CH:24][CH:23]=[C:22]([CH:29]=[CH:28]1)[O:21][CH3:20])[NH2:27].[C:9]1(=[CH:10][CH:11]=[CH:12][S:13]1)[CH:8]=[O:7].[CH3:16][C:15]([CH3:17])([CH3:14])[N+:18]#[C-:19]>>[CH3:14][C:15]([CH3:16])([CH3:17])[NH:18][C:19](=[O:5])[CH:8]([N:27]([CH2:26][C:25]1=[CH:24][CH:23]=[C:22]([O:21][CH3:20])[CH:29]=[CH:28]1)[C:4](=[O:6])[C:3]#[C:2][CH3:1])[C:9]2=[CH:10][CH:11]=[CH:12][S:13]2
533,[CH2:4]1[CH2:5][CH2:6][CH2:7][CH:3]1[N+:2]#[C-:1].[O:10]=[C:9]([CH2:11][C:12]#[N:13])[OH:8].[O:14]=[CH:15][C:16]([C:18]1=[CH:19][CH:20]=[CH:21][S:22]1)=[O:17]>>[CH2:4]1[CH2:5][CH2:6][CH2:7][CH:3]1[NH:2][C:1]([CH:15]([O:14][C:9]([CH2:11][C:12]#[N:13])=[O:10])[C:16](=[O:17])[C:18]2=[CH:19][CH:20]=[CH:21][S:22]2)=[O:8]
534,[CH:6]=1[CH:7]=[CH:8][C:3](=[CH:4][CH:5]=1)[CH:2]=[O:1].[CH3:14][Si:13]([CH3:16])([CH3:15])[CH2:12][C:10]([CH3:9])=[CH2:11].[ClH:17]>>[CH3:9][C:10]([CH2:11][CH:2]([OH:1])[C:3]=1[CH:8]=[CH:7][CH:6]=[CH:5][CH:4]=1)=[CH2:12]
535,[CH:13]=1[CH:14]=[CH:15][C:10](=[CH:11][CH:12]=1)[CH:9]=[O:8].[CH3:1][Si:2]([CH3:3])([CH3:4])[CH2:5][CH:6]=[CH2:7]>>[CH:6]([CH2:7][CH:9]([OH:8])[C:10]=1[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=1)=[CH2:5]
536,[CH:14]1=[CH:13][CH:12]=[CH:11][C:10]2=[C:15]1[C:7]([O:6][CH2:5][CH2:4][CH2:3][C:2]#[N:1])=[C:8]([S:9]2)[C:16]#[N:17]>>[CH:14]1=[CH:13][CH:12]=[CH:11][C:10]=2[S:9][C:8]=3[C:7](=[C:3]4[CH2:4][CH2:5][O:6][C:2]4=[N:1][C:16]=3[NH2:17])[C:15]1=2
537,[CH2:2]([CH2:3][CH2:4][Br:5])[CH3:1].[CH:6]1=[CH:7][CH:8]=[CH:9][CH:10]=[CH:11]1>>[CH3:4][CH:3]([C:8]=1[CH:9]=[CH:10][CH:11]=[CH:6][CH:7]=1)[CH2:2][CH3:1]
538,[CH:5](=[O:6])[CH2:4][CH2:3][CH:2]([C:7]#[CH:8])[CH3:1].[C-:9]#[O+:10]>>[CH2:3]1[CH2:4][CH:5]2[O:6][C:9](=[O:10])[CH:8]=[C:7]2[CH:2]1[CH3:1]
539,[CH3:1][C:2]#[C:3][CH2:4][CH2:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:11]([OH:12])[CH2:13][NH:14][C:15](=[O:17])[CH3:16])[O:10]1>>[CH3:1][C:2]#[C:3][CH2:4][CH2:5][CH:6]1[O:12][CH:11]([CH2:13][NH:14][C:15](=[O:17])[CH3:16])[C:9](=[O:10])[CH:8]=[CH:7]1
540,[CH3:2][C:3]1([CH3:4])[CH:5]2[CH2:12][C:10]([C:8]1([CH2:7][CH2:6]2)[OH:9])=[CH2:11].[OH2:1]>>[CH3:2][C:3]1([CH3:4])[CH:5]2[CH2:12][C:10]([CH2:11][OH:1])([C:8]1=[O:9])[CH2:7][CH2:6]2
541,[CH3:12][C:11]1([CH3:13])[CH2:10][CH2:9][CH2:8][C:6]([CH3:7])=[C:5]1[CH2:4][CH2:3][C:2]([CH3:1])=[CH:14][CH2:15][OH:16].[O:19]=[CH:18][OH:17]>>[CH3:12][C:11]1([CH3:13])[CH2:10][CH2:9][CH2:8][C:6]2([CH3:7])[C:5]13[CH2:15][C:2]([CH3:1])([CH2:3][CH2:4]3)[CH:14]2[O:17][CH:18]=[O:19]
542,[C:6](=[CH2:7])([CH:8]([CH:10]([C:12](=[CH2:14])[CH3:13])[OH:11])[OH:9])[CH3:5].[CH3:1][C:2]([CH3:3])=[O:4]>>[CH3:1][C:2]1([CH3:3])[O:9][CH:8]([C:12]([CH3:13])([CH:10]=[O:11])[CH2:14]1)[C:6]([CH3:5])=[CH2:7]
543,[Cl:15][C:14]([Cl:16])([Cl:17])[C:12]([O:11][CH2:10][CH:9]=[C:7]([CH2:6][CH2:5][CH:4]=[C:2]([CH3:1])[CH3:3])[CH3:8])=[NH:13]>>[Cl:15][C:14]([Cl:16])([Cl:17])[C:12]([NH:13][C:7]([CH2:6][CH2:5][CH:4]=[C:2]([CH3:1])[CH3:3])([CH:9]=[CH2:10])[CH3:8])=[O:11]
544,[CH3:7][C:6]([CH3:8])=[CH:5][CH2:4][CH2:3][CH:2]([CH3:1])[C:9]12[CH:11]([C:12]([CH2:14][CH2:15]1)=[O:13])[CH2:10]2>>[CH3:7][C:6]1([CH3:8])[CH:5]2[CH2:4][CH2:3][CH:2]([CH3:1])[C:9]23[CH2:15][CH2:14][C:12](=[O:13])[CH:11]1[CH2:10]3
545,[CH3:24][C:23]1([CH3:25])[C:15]2=[C:14]([C:13]3=[C:10]([N+:11]#[C-:12])[C:6]([CH3:7])([CH:4]([CH2:3][CH:2]13)[Cl:5])[CH:8]=[CH2:9])[C:18]4=[C:17]([NH:16]2)[CH:22]=[CH:21][CH:20]=[CH:19]4.[OH2:1]>>[CH3:24][C:23]1([CH3:25])[C:14]2([C:13]3=[C:10]([N+:11]#[C-:12])[C:6]([CH:4]([Cl:5])[CH2:3][CH:2]13)([CH:8]=[CH2:9])[CH3:7])[C:15]([NH:16][C:17]4=[CH:22][CH:21]=[CH:20][CH:19]=[C:18]24)=[O:1]
546,[CH:9](=[CH2:10])[CH:8]1[N:7]([CH2:6][CH2:5][CH2:4][CH:3]1[CH2:2][CH3:1])[C:11](=[O:12])[CH2:13][CH3:14]>>[CH2:2]([CH3:1])[CH:3]1[CH2:4][CH2:5][CH2:6][NH:7][C:11]([CH:13]([CH3:14])[CH2:10][CH:9]=[CH:8]1)=[O:12]
547,[CH:22]1([C:6]([C:4]([C:2](=[CH2:1])[OH:3])=[O:5])([CH3:7])[CH2:8][CH2:9][CH:10]2[CH:11]1[CH2:12][CH2:13][C:14]3=[CH:15][C:16](=[O:17])[CH2:18][CH2:19][C:20]23[CH3:21])[CH2:23][CH:24]=[O:25]>>[CH2:8]1[CH2:9][CH:10]2[CH:11]([CH:22]3[CH2:23][CH:24]4[CH2:1][C:2]([OH:3])([C:4]([O:25]4)=[O:5])[C:6]13[CH3:7])[CH2:12][CH2:13][C:14]5=[CH:15][C:16]([CH2:18][CH2:19][C:20]25[CH3:21])=[O:17]
548,[N:16]1=[C:15]([O:19][CH2:18][CH2:17]1)[C:5]2=[C:4]([O:3][CH2:2][CH3:1])[O:8][C:7](=[N:6]2)[C:9]3=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]3>>[O:3]([C:4]([C:5]=1[N:6]=[C:7]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[N:16]3[CH2:17][CH2:18][O:19][C:15]=13)=[O:8])[CH2:2][CH3:1]
549,[CH4:26].[CH3:19][C:18]([CH3:20])([CH3:21])[Si:15]([CH3:16])([CH3:17])[O:14][CH2:13][CH2:12][CH:11]1[CH:10]2[CH:1]([CH:25]=[CH:24][CH:22]1[OH:23])[CH2:2][CH2:3][N:4]2[C:5](=[O:6])[O:7][CH2:8][CH3:9].[NH3:27]>>[CH3:19][C:18]([CH3:20])([CH3:21])[Si:15]([CH3:16])([CH3:17])[O:14][CH2:13][CH2:12][CH:11]1[CH:22]=[CH:24][CH:25]([CH:1]2[CH2:2][CH2:3][N:4]([C:5](=[O:6])[O:7][CH2:8][CH3:9])[CH:10]12)[C:26](=[O:23])[NH2:27]
